Name,Slug,Category,Website,Pricing,Generated,Published
Jasper,jasper,Writing,https://jasper.ai,From $49/mo,FALSE,FALSE
Copy.ai,copy-ai,Writing,https://copy.ai,Free tier - Pro $49/mo,FALSE,FALSE
Writesonic,writesonic,Writing,https://writesonic.com,Free tier - Pro $19/mo,FALSE,FALSE
Rytr,rytr,Writing,https://rytr.me,Free tier - Pro $9/mo,FALSE,FALSE
Wordtune,wordtune,Writing,https://wordtune.com,Free tier - Pro $9.99/mo,FALSE,FALSE
QuillBot,quillbot,Writing,https://quillbot.com,Free tier - Pro $9.95/mo,FALSE,FALSE
Grammarly,grammarly,Writing,https://grammarly.com,Free tier - Pro $12/mo,FALSE,FALSE
Hemingway Editor,hemingway-editor,Writing,https://hemingwayapp.com,Free online - $19.99 desktop,FALSE,FALSE
Sudowrite,sudowrite,Writing,https://sudowrite.com,From $19/mo,FALSE,FALSE
Anyword,anyword,Writing,https://anyword.com,From $39/mo,FALSE,FALSE
Frase,frase,Writing,https://frase.io,From $14.99/mo,FALSE,FALSE
Surfer SEO,surfer-seo,Writing,https://surferseo.com,From $69/mo,FALSE,FALSE
Clearscope,clearscope,Writing,https://clearscope.io,From $170/mo,FALSE,FALSE
INK Editor,ink-editor,Writing,https://inkforall.com,Free tier - Pro $39/mo,FALSE,FALSE
Peppertype,peppertype,Writing,https://peppertype.ai,From $35/mo,FALSE,FALSE
Midjourney,midjourney,Image,https://midjourney.com,From $10/mo,FALSE,FALSE
DALL-E 3,dall-e-3,Image,https://openai.com/dall-e-3,ChatGPT Plus $20/mo,FALSE,FALSE
Stable Diffusion,stable-diffusion,Image,https://stability.ai,Free/Open source,FALSE,FALSE
Leonardo.AI,leonardo-ai,Image,https://leonardo.ai,Free tier - Pro $12/mo,FALSE,FALSE
Ideogram,ideogram,Image,https://ideogram.ai,Free tier - Pro $7/mo,FALSE,FALSE
Adobe Firefly,adobe-firefly,Image,https://firefly.adobe.com,Free tier - CC $20/mo,FALSE,FALSE
Canva AI,canva-ai,Image,https://canva.com,Free tier - Pro $12.99/mo,FALSE,FALSE
Playground AI,playground-ai,Image,https://playground.ai,Free tier - Pro $15/mo,FALSE,FALSE
NightCafe,nightcafe,Image,https://nightcafe.studio,Free credits - Pro $9.99/mo,FALSE,FALSE
Lexica,lexica,Image,https://lexica.art,Free search - Gen $10/mo,FALSE,FALSE
Craiyon,craiyon,Image,https://craiyon.com,Free - Pro $6/mo,FALSE,FALSE
BlueWillow,bluewillow,Image,https://bluewillow.ai,Free via Discord,FALSE,FALSE
Photosonic,photosonic,Image,https://photosonic.ai,Included with Writesonic,FALSE,FALSE
Getimg.ai,getimg-ai,Image,https://getimg.ai,Free tier - Pro $12/mo,FALSE,FALSE
Artbreeder,artbreeder,Image,https://artbreeder.com,Free tier - Pro $8.99/mo,FALSE,FALSE
